id,programa_id,nombre,descripcion,created_at,updated_at,deleted_at
210,118,2020B,SEMESTRAL,2020/09/22 15:32,1900/01/01 00:00,1900/01/01 00:00
211,297,2020B,SEMESTRAL,2020/09/23 11:58,1900/01/01 00:00,1900/01/01 00:00
212,300,2020B,SEMESTRAL,2020/09/23 12:27,1900/01/01 00:00,1900/01/01 00:00
213,10,2018B,SEMESTRAL,2020/10/09 10:58,1900/01/01 00:00,1900/01/01 00:00
214,10,2019A,SEMESTRAL,2020/10/09 13:17,1900/01/01 00:00,1900/01/01 00:00
215,10,2019B,SEMESTRAL,2020/10/09 13:22,1900/01/01 00:00,1900/01/01 00:00
216,10,2020A,SEMESTRAL,2020/10/09 13:23,1900/01/01 00:00,1900/01/01 00:00
217,10,2020B,SEMESTRAL,2020/10/09 13:23,1900/01/01 00:00,1900/01/01 00:00
218,273,2018B,CUATRIMESTRAL,2020/10/16 11:31,1900/01/01 00:00,1900/01/01 00:00
219,359,2018B,SEMESTRAL ,2020/11/24 10:01,2020/11/24 10:02,1900/01/01 00:00
220,359,2019A,SEMESTRAL ,2020/11/24 10:37,1900/01/01 00:00,1900/01/01 00:00
221,359,2019B,SEMESTRAL ,2020/11/24 11:14,1900/01/01 00:00,1900/01/01 00:00
222,359,2020A,SEMESTRAL ,2020/11/24 13:06,1900/01/01 00:00,1900/01/01 00:00
223,360,2018B,SEMESTRAL ,2020/11/26 11:48,1900/01/01 00:00,1900/01/01 00:00
224,360,2019A,SEMESTRAL ,2020/11/26 12:18,1900/01/01 00:00,1900/01/01 00:00
225,360,2019B,SEMESTRAL ,2020/11/26 12:37,1900/01/01 00:00,1900/01/01 00:00
226,360,2020A,SEMESTRAL ,2020/11/26 13:03,1900/01/01 00:00,1900/01/01 00:00
227,253,2016B,SEMESTRAL,2020/12/11 14:46,1900/01/01 00:00,1900/01/01 00:00
228,253,2017A,SEMESTRAL,2020/12/15 15:27,1900/01/01 00:00,1900/01/01 00:00
229,366,2018B,SEMESTRAL ,2021/01/07 12:23,1900/01/01 00:00,1900/01/01 00:00
230,366,2019A,SEMESTRAL ,2021/01/07 12:41,1900/01/01 00:00,1900/01/01 00:00
231,253,2017B,SEMESTRAL,2021/01/07 12:44,1900/01/01 00:00,1900/01/01 00:00
232,253,2018A,SEMESTRAL,2021/01/07 13:32,1900/01/01 00:00,1900/01/01 00:00
233,366,2019B,SEMESTRAL ,2021/01/07 13:47,1900/01/01 00:00,1900/01/01 00:00
234,366,2020A,SEMESTRAL ,2021/01/07 14:48,1900/01/01 00:00,1900/01/01 00:00
235,252,2016B,SEMESTRAL,2021/01/08 09:16,1900/01/01 00:00,1900/01/01 00:00
